Date,Close/Last,Volume,Open,High,Low,count,normalized,symbol
2023-04-06,$164.66,45390120,$162.43,$164.9584,$162.00,25.0,0.6429,AAPL.US
2023-04-10,$162.03,47716880,$161.42,$162.03,$160.08,32.0,0.3277,AAPL.US
2023-04-11,$160.80,47644220,$162.35,$162.36,$160.51,14.0,0.4939,AAPL.US
2023-04-12,$160.10,50133060,$161.22,$162.06,$159.78,22.0,0.2945,AAPL.US
2023-04-13,$165.56,68445650,$161.63,$165.80,$161.42,30.0,0.4977,AAPL.US
2023-04-14,$165.21,49386480,$164.59,$166.32,$163.82,15.0,0.5335,AAPL.US
2023-04-17,$165.23,41516220,$165.09,$165.39,$164.03,43.0,0.6022,AAPL.US
2023-04-18,$166.47,49923010,$166.10,$167.41,$165.65,37.0,0.4532,AAPL.US
2023-04-19,$167.63,47720170,$165.80,$168.16,$165.54,28.0,0.6664,AAPL.US
2023-04-20,$166.65,52456380,$166.09,$167.87,$165.56,19.0,0.6627,AAPL.US
2023-04-21,$165.02,58337340,$165.05,$166.4521,$164.49,13.0,0.6638,AAPL.US
